ID,TP1_JAN,TP1_JULY,MP1_,FP1_,PD1_,PSR_,MA1_,NCB_,RNC_,PC_,PGR_,PAD_
51,6129944,6171703,3102258,3069445,47.3,101.1,25.1,83518,13.5,83518,1.35,51.2
52,6213462,6254936,3144579,3110358,48.0,101.1,25.3,82949,13.3,82949,1.33,52.3
53,6296411,6337730,3186518,3151213,48.6,101.1,25.5,82639,13.0,82639,1.3,53.2
54,6379050,6420362,3228411,3191951,49.2,101.1,25.7,82624,12.9,82624,1.29,53.9
55,6461673,6503378,3270594,3232784,49.9,101.2,25.9,83409,12.8,83409,1.28,54.0
56,6545082,6586970,3313000,3273970,50.5,101.2,26.1,83776,12.7,83776,1.27,54.5
57,6628858,6671452,3355913,3315539,51.2,101.2,26.3,85188,12.8,85188,1.28,54.3
58,6714046,6757309,3399561,3357748,51.8,101.2,26.5,86526,12.8,86526,1.28,54.2
59,6800572,6844458,3443714,3400743,52.5,101.3,26.7,87772,12.8,87772,1.28,54.1
60,6888344,6932766,3488237,3444530,53.2,101.3,27.0,88846,12.8,88846,1.28,54.1
61,6977189,7021732,3533139,3488594,53.8,101.3,27.2,89086,12.7,89086,1.27,54.6
62,7066275,7110924,3578459,3532465,54.5,101.3,27.4,89297,12.6,89297,1.26,55.2
63,7155572,7201202,3624480,3576723,55.2,101.3,27.6,91260,12.7,91260,1.27,54.7
64,7246832,7291794,3670601,3621192,55.9,101.4,27.8,89922,12.3,89922,1.23,56.2
65,7336755,7381616,3716191,3665425,56.6,101.4,28.1,89723,12.2,89723,1.22,57.0
66,7426478,7470492,3761327,3709165,57.3,101.4,28.3,88028,11.8,88028,1.18,58.8
67,7514506,7558555,3805832,3752722,58.0,101.4,28.5,88097,11.7,88097,1.17,59.4
68,7602603,7645618,3849386,3796232,58.6,101.4,28.8,86030,11.3,86030,1.13,61.6
69,7688633,7729903,3891359,3838544,59.3,101.4,29.0,82540,10.7,82540,1.07,64.9
70,7771173,7811294,3931909,3879385,59.9,101.4,29.3,80242,10.3,80242,1.03,67.5
71,7851415,7887001,3969229,3917772,60.5,101.3,29.6,71173,9.0,71173,0.9,76.8
72,7922588,7954448,4002148,3952300,61.0,101.3,29.8,63721,8.0,63721,0.8,86.5
73,7986309,8021407,4035008,3986399,61.5,101.2,30.1,70197,8.8,70197,0.88,79.2
74,8056506,8091735,4069352,4022383,62.1,101.2,30.4,70459,8.7,70459,0.87,79.6
75,539190,544044,280114,263930,56.7,106.1,22.2,9729,17.9,9709,1.79,38.8
76,548899,553758,284864,268895,57.7,105.9,21.9,9733,17.6,9719,1.76,39.5
77,558618,565131,290480,274651,58.9,105.8,21.6,13036,23.1,13027,2.31,30.1
78,571645,577557,296657,280900,60.2,105.6,21.3,11830,20.5,11824,2.05,33.9
79,583469,590114,302920,287194,61.5,105.5,21.0,13293,22.5,13289,2.25,30.8
80,596759,603547,309610,293937,62.9,105.3,20.7,13579,22.5,13577,2.25,30.8
81,610335,616559,316067,300492,64.2,105.2,20.5,12448,20.2,12446,2.02,34.3
82,622782,630356,322932,307424,65.7,105.0,20.2,15151,24.0,15149,2.4,28.8
83,637931,644219,329824,314396,67.1,104.9,19.9,12580,19.5,12577,1.95,35.5
84,650508,652708,333932,318776,68.0,104.8,19.8,4408,6.8,4400,0.67,102.8
85,654908,654802,334740,320062,68.2,104.6,19.9,-195,-0.3,-212,-0.03,
