ID,TD_,MD_,FD_,CDR_,LEB_,MLE_,FLE_,LEA_15,MLE_15,FLE_15,LEA_65,MLE_65,FLE_65,LEA_80,MLE_80,FLE_80,IDA_,IMR_,LBS_,FDA_5,FM_,MA4_40,MMA_40,FMA_40,MA6_60,MMA_60,FMA_60,MA1_15_50,MMA_15_50,FMA_15_50,MA1_15_60,MMA_15_60,FMA_15_60
105,7507,4043,3464,7.6,64.2,62.1,66.5,54.8,52.6,56.9,12.7,11.4,13.8,5.5,4.7,5.9,1037,48.1,20831.918,1377,64,133,144,120,273,305,237,107,122,89,207,240,172
106,7494,4044,3449,7.5,64.8,62.6,67.1,55.1,52.9,57.3,12.9,11.5,14.0,5.5,4.8,5.9,1033,46.2,21642.083,1353,62,127,139,115,265,297,229,103,119,86,202,234,167
107,7550,4080,3470,7.4,65.2,63.0,67.6,55.4,53.2,57.6,13.0,11.6,14.1,5.6,4.8,6.0,1074,44.7,23458.852,1385,59,123,135,111,257,290,222,100,116,83,197,229,161
108,7451,4030,3421,7.2,65.7,63.5,68.1,55.7,53.5,58.0,13.2,11.8,14.3,5.7,4.9,6.1,968,43.6,20903.669,1281,58,119,131,107,250,283,215,97,112,79,191,223,156
109,7476,4049,3427,7.2,66.1,63.9,68.5,56.0,53.8,58.3,13.3,11.9,14.5,5.7,4.9,6.2,968,42.7,22100.795,1279,56,116,127,104,244,277,208,94,109,76,186,218,151
110,7541,4092,3449,7.1,66.5,64.2,68.9,56.3,54.1,58.6,13.5,12.1,14.6,5.8,5.0,6.3,1005,42.0,23294.696,1310,55,113,124,101,238,271,202,91,107,73,181,213,146
111,7648,4160,3488,7.1,66.9,64.6,69.3,56.6,54.4,58.9,13.6,12.2,14.8,5.9,5.0,6.3,1068,41.5,25145.211,1373,55,110,122,98,233,266,197,88,104,70,177,209,141
112,7738,4223,3514,7.1,67.3,64.9,69.7,56.9,54.6,59.3,13.8,12.3,15.0,5.9,5.1,6.4,1124,41.2,26612.373,1434,54,108,120,96,227,261,191,85,101,67,172,204,136
113,7757,4240,3517,7.0,67.6,65.2,70.1,57.2,54.9,59.6,13.9,12.5,15.2,6.0,5.1,6.5,1090,40.9,25541.101,1414,54,106,117,93,222,255,185,82,99,65,167,200,131
114,7830,4277,3553,6.9,67.9,65.6,70.4,57.5,55.2,59.9,14.1,12.7,15.3,6.1,5.2,6.6,1099,40.5,26312.077,1432,53,104,115,92,217,250,181,80,96,62,163,195,127
115,7975,4335,3640,6.9,68.2,65.9,70.6,57.7,55.5,60.0,14.1,12.8,15.3,6.1,5.2,6.5,1121,40.1,27136.992,1456,53,102,113,90,214,245,178,78,93,61,160,191,125
116,7782,4241,3541,6.6,68.6,66.3,71.0,58.1,55.8,60.4,14.4,13.0,15.6,6.2,5.3,6.7,937,39.6,21893.555,1274,52,99,110,88,207,239,172,75,90,58,154,185,120
117,7671,4180,3492,6.5,69.1,66.8,71.5,58.4,56.2,60.8,14.6,13.2,15.7,6.3,5.4,6.8,831,38.9,20378.219,1152,51,96,107,85,201,232,167,72,87,56,148,179,115
118,7614,4181,3433,6.4,69.5,67.1,72.0,58.8,56.5,61.2,14.8,13.3,16.0,6.4,5.5,6.9,775,38.0,19555.315,1065,50,94,104,82,195,227,160,69,85,53,144,175,109
119,7632,4209,3423,6.3,69.8,67.4,72.4,59.0,56.7,61.5,14.9,13.4,16.2,6.4,5.5,7.0,727,37.0,18916.498,988,48,91,101,80,190,222,155,68,83,51,140,172,106
120,7549,4191,3357,6.2,70.4,67.9,73.0,59.4,57.0,62.0,15.1,13.6,16.5,6.6,5.6,7.1,684,35.8,18423.834,916,47,88,98,77,184,216,148,65,81,48,135,167,100
121,7523,4181,3342,6.1,70.8,68.3,73.5,59.8,57.3,62.3,15.3,13.8,16.7,6.7,5.7,7.2,636,34.5,17766.211,843,45,85,95,74,178,210,142,63,78,47,130,162,96
122,7541,4193,3348,6.1,71.2,68.7,73.9,60.0,57.6,62.6,15.4,13.9,16.8,6.7,5.8,7.3,587,33.0,17174.986,775,43,81,91,71,172,204,137,61,76,45,127,158,93
123,7588,4215,3373,6.1,71.6,69.1,74.2,60.2,57.8,62.7,15.5,14.1,16.9,6.8,5.9,7.4,543,31.4,16719.342,713,41,78,88,68,167,199,133,60,75,44,124,154,91
124,7666,4245,3421,6.1,72.0,69.5,74.5,60.4,58.0,62.9,15.6,14.2,16.9,6.8,5.9,7.4,503,29.7,16425.902,656,38,75,84,65,163,193,129,58,73,43,121,151,89
125,7780,4316,3465,6.1,72.3,69.9,74.9,60.5,58.2,63.0,15.7,14.2,17.0,6.9,6.0,7.4,488,27.9,17120.503,626,36,72,81,62,158,189,125,57,72,42,119,149,87
126,7831,4347,3483,6.1,72.7,70.2,75.3,60.7,58.4,63.2,15.8,14.4,17.1,6.9,6.0,7.5,437,26.1,16203.148,562,33,68,77,59,153,184,120,56,70,41,116,146,84
127,7917,4401,3516,6.2,73.0,70.6,75.7,60.9,58.5,63.4,15.9,14.4,17.2,7.0,6.1,7.5,399,24.3,16027.54,512,31,65,74,56,149,179,116,55,69,40,114,144,82
128,8012,4460,3552,6.2,73.4,70.9,76.0,61.1,58.7,63.6,16.0,14.5,17.3,7.0,6.1,7.6,366,22.5,15894.164,467,29,62,70,53,145,175,112,54,68,39,112,142,80
